text;aspek;sentimen
Tempat nya nyaman dan pemandangan nya bagus  ;umum;positif
Hotel terbaik di kota Luwuk ! View yang indah !;umum;positif
view bagus, staff nya ramah;umum;positif
Excellend view, good food, warm;umum;positif
Cukup bersih dan wangi;fasilitas;positif
Murah meriah.. nyaman.. bersih;umum;positif
Standar tempat tidur sedang, kipas angin 90rb Kipas angin deluxe, TV, tempat tidur besar, kamar mandi seharga 150rb Vip, AC, TV, kamar tidur besar, kamar mandi seharga 200rb;umum;positif
Hotel yg bagus, bersih dan layanan nya luar biasa. Letak nya yg bagus dgn view kota Luwuk dan laut yg luar biasa indah... tidak mengecewakan.;umum;positif
Tempat nya nyaman dan view nya langsung pandang ke laut n bukit..jadi bisa memanjakan mata saya.;kenyamanan;positif
layanan, kamar bersih dan rapih  sarapannya uenak...pemandangan ke laut yang indah;umum;positif
Tempat favorit saya di Luwuk Pemandangan bagus Pelayanan memuaskan;umum;positif
View ke pantai bagus. Sarapan pagi/sahur juga enak;umum;positif
Staff hotelnya ada yg ramah,..;umum;positif
Salah satu hotel terbaik di kota Luwuk. Dekat dengan pantai kilo 5. Selama kami menginap di sini layanan kamar bagus dan bersih. Petugas juga ramah dan sigap. ;umum;positif
The hotel features modern, fully-appointed guestrooms with all the necessary amenities for a comfortable stay. I stayed in one of the Deluxe Rooms and it was spacious, clean, and well-equipped. The Family Suites and self-contained Villas ;umum;positif
Selimutnya kotor, water heaternya tidak berfungsi baik, di kamar ada tv tapi siarannya kabur;fasilitas;negatif
Baik, karyawannya ramah;umum;positif
The view is really good, but service doesn't supported, lift too small and sometimes get trouble, and i get little bit bad experience when the room services move my belongings to another room without permission.;umum;negatif
Nice room, affordable, fantastic view, good service.. all excellent;umum;positif
Clean and comfy rooms, breakfast with superb view.. Cannot ask for more I guess.. Experience it yourself..;kenyamanan;positif
Hotel yang bagus dengan manajemen syariah Bahkan ada mushola dan toilet umumnya cocok bagi yang rebutan toilet dikamar;umum;positif
Pelayanannya ramah, tempatnya nyaman rekomended pokoknya  ;umum;positif
nyaman dan lokasinya strategis di tengah kota, harga sewa kamarnya pun terjangkau.;umum;positif
Lom ada duanya Rekomended;umum;positif
Layanannya Maksimal, Lokasinya Strategis, dan fasilitasnya aman serta nyaman untuk para Traveller.;umum;positif
Hotel yg wajib di kunjungi klw ke Luwuk.;umum;positif
Lokasi jauh utk cari makan ataupun mini market. ;transportasi;negatif
Layanan lumayan bagus dan kamar juga oke. Tapi tidak ada smoking room.;umum;positif
Bersih, Nyaman dan ada shower air Panasnya..;umum;positif
Kamarnya bersih, rapi, tapi perlu diperhatikan untuk kasurnya. Soalnya agak gatal saat tidur. Kamar mandi perlu dibersihkan setiap saat, karena agak bau. Dan, sebaiknya dilakukan penyemprotan anti nyamuk.;fasilitas;negatif
Penginapan strategis karena berdekatan dengan pelabuhan rakyat dan mesjid, serta harga terjangkau;umum,biaya;positif
Tempatnya bikin nyaman dan harga terjangkau jg  ;kenyamanan,biaya;positif
Kamar sangat besar di nomor 23x. Sayangnya 3 lubang drainase nya kurang baik sehingga air tidak terserap dengan baik Dan menggenangi kamar mandi yang luas itu.;fasilitas;negatif
Good hotel with super nice staff, good breakfast and free transport to the airport. A good place to stay before flying from Luwuk airport.;umum;positif
Hotel syariah yang luar biasa lokasi ditengah kota dekat ke pusat pertokoan luwuk kamarnya nyaman dan bersih ac nya dingin sarapannya banyak macamnya dan eunak recomended hotel untuk keluarga maupun rekan bisinis;umum,kenyamanan,fasilitas;positif
Hotel syariah terbaik dikota luwuk dengan pelayanan baik recomended hotel;pelayanan;positif
Nyaman dan syari'ah  lokasi strategis ;kenyamanan,transportasi;positif
Layanan dan fasilitas sangat baik;umum;positif
Mengunjungi teman yang sedang liburan disini. Setelah masa pandemic, baru kali berkunjung kesini lagi, mengunjungi teman yang sedang berlibur. Hotel yang terletak di bukit memungkinkan pengunjung untuk menikmati pemandangan ;umum;positif
Hotelnya sangat bagus, nyaman kamar luar , sarapannya enak beragaman. Stafnya sangat ramah dan resepsionis helpfull banget. Ada free antar jemput bandara. ;kenyamanan,transportasi,pelayanan;positif
Pelayanan kurang baik, ac kamar tidak dingin nelpon resepsionis berulang2, cmn disuruh menunggu teknisi segera dtg, kami sdh keringatan angkat brg naik tangga, namun teknisi tidak kunjung dtg,  kurang puas dgn pelayanan dan fasilitasnya mungkin bisa diperbaiki agar memberi kepuasan dan kesan yg baik buat tamu. Tks;pelayanan,fasilitas;negatif
Terbaik saya sering antar tamu di hotel ini? Semoga bisa saling memberi penilaian yg sama ke pihak rental kami ;umum;positif
Lumayan;umum;positif
Sesekali wajib nginap di sini saat ke Luwuk. Lokasinya memang agak jauh dari pusat kota tapi terbayar dengan pelayanannya, variasi breakfastnya jg mantap, kamarnya mantaapp, ada pool dan gym jg. Pokoke mantaapp;pelayanan;positif
Kamarnya bagus dan bersih ... Pelayanannya baik ... Dan lokasinya strategis dapat langsung melihat keindahan kota Luwuk ...  ;fasilitas,kenyamanan;positif
Kamar tidur nya nyaman dan bersih,pelayanann nya ramah dan sopan;kenyamanan,fasilitas,pelayanan;positif
Bersih, hotel syariah, makan cukup baik, fasilitas  memadai, pokoknya mantap;fasilitas;positif
Family member must have id if stay here;umum;netral
Saya cek in tgl 23 dan cek out tgl 24, awalnya kami memutuskan utk memperpanjang kamar 1 hr lagi dg promo qris mandiri utk weekend, tp niat tsb kami urungkan krn jawaban dr receptionist kuota utk promo qris mandiri sdh penuh (kalo sdh penuh ;umum;netral
Dingin nyaman;kenyamanan;positif
Tempatnya bersih, dan harrganya murah. Dekat pelabuhan Pelni, dekat masjid. Sayangnya jalan dari jalan raya ke Losmen sempit, hanya untuk satu motor. Kamar mandinya bersih. Tapi pakai jam malam. Jam 11 tamu sudah harus pulang.  Harganya mulai 50 ribu.;fasilitas,biaya;positif
Terima kasih;umum;positif
Pelayanan terbaik, petugas-petugasnya ramah, lokasi strategis, tempat parkir lebih luas dan akses bandara dekat. Sayangnya sering mati lampu,, mungkin pas waktu nginap itu saja ada masalah ;pelayanan,fasilitas;positif
Kali ini datang ke sini karena acara. Tapi service yg luar biasa tatanan hotel yang menyejukkan. Masuk lobby aja sdh banyak kenyamanan, viewnya yang indah menampilkan kota luwuk. Makanan lumayan enak juga..;kenyamanan,pelayanan;positif
Tempat yang sangat cocok untuk nginap, healing, dan bisnis serta untuk mengadakan paket meeting, pelatihan yang sangat nyaman dan elegan fi Kota Luwuk.....;kenyamanan;positif
Hotel yang bersih, petugas ramah, menu sarapannya luar biasa, minusnya wifi kamar mati;fasilitas,pelayanan;positif
Sering antar tamu buat menginap d sini..kamar bersih dan luar.. ;fasilitas;positif
Bangunan masih baru dan lumayan murah, namun tempat terletak di lorong, mobil tidak bisa sampai di halaman losmen.;biaya;positif
Nomer tlp resepsionis 0822-2345-6732..Tempat nya bersih, murah pelayanan nya bagus.. Hrga kamar yg paling murah 50 ribu fasilitas kasur spring bed, kipas angin dan wifi.. Dekat sekali dngn pelabuhan rakyat cukup berjalan skitar 30 meter sdh smpai penginapan..;fasilitas,biaya,pelayanan;positif
Bersih,nyaman ,dan  aman  cmn Depe kariawan nya. Kurang   profesional dalam bekerja ...;fasilitas,kenyamanan;positif
Tempatnya bersih, dan nyaman.. harga sewa nya juga terjangkau..;fasilitas,kenyamanan,biaya;positif
Sangat recommended untuk tempat menginap bersama keluarga  ;umum;positif
mohon utk alamatnya di google maps disertakan dengan nomor hp yang aktif  ;umum;netral
Bagus;umum;positif
Terima kasih;umum;positif
Hotel dengan tempat yang dekat dengan bandara. Disediakan pengantaran ke bandara. GRATIS.. Kamar tidak terlalu luas (tipe standard). Menu sarapannya mantap, banyak pilihan. View laut  Ada pool, tempat parkir luas, oke deh.. ;transportasi,fasilitas;positif
Saya kasih bintang 5 untuk keramahan staff hotel Sedikit sharing Saya 3 kali order ayam sambal bawang ;pelayanan;positif
Lokasi dekat sekali dari pantai Kilo 5. Tinggal naik saja ke seberangnya. Viewnya cakep, laut. Akses jalannya menanjak ya. Hati-hati berkendara. Jalan kaki lumayan capek saat nanjaknya. Fasilitas standar Santika. Pelayanan juga standar ;umum;netral
Nice people working at the hotel. Friendly staff. Excellent breakfast with a lot of choices. Nice beds and clean swimming pool. Amazing view. 4 km of the centre. Free shuttle service. Good yoga spot at the swimming pool. Good mocktails.;pelayanan,kenyamanan,fasilitas,transportasi;positif
Sangat suka menginap di sini. Hospitality nya ga diragukan lagi. Mulai dr kamar, pelayanan, fasilitas dan restaurannya mantap. Makanannya enak, permintaan terpenuhi, kamar bersih, pelayanan ramah. Semoga bisa staycation di sini lg;pelayanan,fasilitas;positif
Tempatnya oke, view mantap. Tersedia kolam renang anak dan dewasa. Sarapannya asli enak dan viewnya oke punya. Jadi sarapan jadi lebih mantul. Pelayanan juga ramah, tidak kaku. Kamar juga bagus bersih dan nyaman. Lokasi juga dekat kota. Recomended sih..;kenyamanan,kebersihan,fasilitas;positif
Santika makanannya paling enak di banding beberapa hotel di luwuk. Dibandingkan pesaingnya sw**s b*l di sini lebih enak sarapannya. Pemandangannya juga oke menghadap ke pantai. Utk kamar dan servixe nya juga baik. Tarifnya bahkan kdg lebih murah  sy sering menginap di sini ;fasilitas,biaya,pelayanan;positif
Breakfast ok, ada pengantaran shuttle mobil dari hotel ke bandara, view laut bags, Waktu check-in kondisi toilet aroma tdk sedap kloset tertutup ada puntung rokok dan urine belum terbilas;kebersihan;negatif
Satu hal yg sy nilai sangat buruk adalah rasa dan kualitas makanan sarapannya. Kamar standar hotel bintang tiga yg bergaya minimalis dan berukuran cukup luas dgn harga yg terjangkau. Dekat dgn jalan raya utama dan memiliki pemandangan ke arah laut yg cukup memukau. Jarang ada warung makan atau resto di sekitar hotel.;fasilitas;netral
Pertama masuk. Tisu toilet dan tisu yg d kamar udah mau habis (blm d Refill lagi). Pelayanan di resepsionis agak lamban. Tp pelayannya ramah2 dan makanan enak2;pelayanan,fasilitas;negatif
Fasilitas oke untuk makanannya luamayan enak kondisi kamar terlihat modern, namun untuk internet nya sedikit lambat overall good  ;fasilitas;positif
Tempatnya Keren, bersih, nyaman, pemandangan dari hotelnya menurut saya pas sekali, dengan letak hotel yang dibangun di dataran tinggi dari hotel kita bisa melihat ramainya perkotaan Luwuk terutama pemandangan malamnya perkotaan Luwuk ;fasilitas,kenyamanan;positif
Profesional Hotel...few??jgn tanya lagi..paling trbaik dari semua hotel di kota luwuk..hotel yg langsung brhadap dg pmandangan yg sangat indah di segala sisi kota luwuk yg mempesona ...pelayanan makanan minuman para tamu di jamu dg ramah ;pelayanan;positif
The hotel provide a great view to the city of Luwuk, especially at night. There is also swimming pool down there where your kids love to play. I have to say the Santika hotel Luwuk is one of the big three for the best hotel in the city.;fasilitas;positif
Hotel yg berada di lereng bukit Kabupaten Luwuk Banggai dengan pemandangan laut yang jernih. Hotel dituju Dari Bandara hanya 15 menit.;transportasi;positif
Untuk bed room, meeting room dan restaurant, dari segi harga baik, pelayanan sangat baik, fasilitas dan kenyamanan juga terjamin. Para pelayan hotel sangat ramah.;fasilitas,pelayanan,biaya;positif
Pertama kalinya saya pergi ke Luwuk. Hotel yg sangat indah dengan pemandangan laut yang keren. Thanks for your hospitality;pelayanan;positif
Kren bangat lokasinya viewnya ke laut. Klw ksni hrus boking kmar view laut yah biar pagi2 bka gorden wowww...... disambut sunrise.;umum;positif
Rekomendasi ,Bersih,Memuaskan Bisa melihat kota luwuk dari dalam kamar Apalagi sarapannya bebas pilih n makan apa aja;fasilitas,kenyamanan;positif
Hotel dikota luwuk dengan fasilitas meeting room dan kolam renang. View menghadap teluk toili sangat indah;kenyamanan;positif
Layanan sales Marketingnya kurang bagus, Susah di temui, pas ketemu tidak sesuai dengan apa yg di inginkan ;umum;negatif
Rekomended,,, fasilitasx mantap,,,viewx woww. yg mau liburan keluarga ayo segera boking. ;fasilitas;positif
Kamar yang bagus. Suasana dan viewnya dahsyat. Anak saya suka sekali berenang disini.;fasilitas,kenyamanan;positif
Viunya baik untuk para pelancong dlm dan luar negeri... Juga menyediakan berbagain fasilitas bagi para pengunjung;fasilitas;positif
Hotelnya sangat representatif berada di Tengah Kota dekat dengan masjid agung, pelabuhan jalan kaki pun bisa. Tempat makan banyak di sekitarnya. Hotelnya bersih cukup luas, syariah ada penunjuk arah sholat dan sajadah. AC ;transportasi,fasilitas,kebersihan;positif
Suasana hotel nyaman aman dan bersih, membuat perasaan lega dengan fasilitas kerapian tiap tiap kamarnya. Semua karyawan hotel sopan dan baik baik;kenyamanan,fasilitas,pelayanan;positif
Hotel yang recommended bila berada di Luwuk.. kamar sih so-so ya.. kebanyakan nggak pake air panas.. tetapi sarapannya ok.. overall buat yg singgah perjalanan ok aja.. lokasinya strategis di tengah kota, dekat pelabuhan maupun pasar.. di sekitar juga banyak tempat makan..;umum;positif
Kamar enak dan nyaman, layanannya cepat, namun lokasinya kurang mendukung krn terletak di pinggir jalan ramai;kenyamanan,pelayanan;positif
ini hotel kecil tapi layanan dan fasilitas setara bintang 5, free breakfast lagi. view nya mantab..pelayannya baik dan ramah;fasilitas,pelayanan;positif
Pelayanannya ramah dimanapun, kamarnya bersih, toiletnya bersih, restorannya bersih, dapat sarapan pagi, ada layanan pengantaran mobil ke bandara, tempat parkir ada;pelayanan,fasilitas;positif
Tempatnya sangat recomended, ditengah Kota, hotelnya bersih, nyaman dan pelayanannya baik..  ;fasilitas,kenyamanan,pelayanan;positif
Hotel cukup bersih, pelayanan ramah, dekat keberbagai tempat lokasi.;fasilitas,pelayanan;positif
Kamar type superior tidak ada air panasnya. Terima kasih.;fasilitas;negatif
Tempat yang Nyaman.. pelayanannya Memuaskan.. karyawan Ramah.. dan Makanannya Benar2 Pas dikantong  ;kenyamanan,pelayanan,biaya;positif
Hotel mantap dgn view lautan, malamnya dihiasi gemerlap lampu2 di pinggir pantai.;umum;positif
Tempaatt yg asyhiikk ..enak nyaman ..pelayanan super baikk..thebestt pokoknya ..smuanya murah senyum bikin nyaman senyaman mgkin ..makanannya juga enak murah meriah ..super the bestt pokoknya ..;pelayanan,biaya,kenyamanan;positif
Hotelnya bersih, staffnya ramah dan cekatan, dekat pusat kota, tempat kongkow2, juga jalan2;fasilitas,pelayanan;positif
Orang mau dtg ke kmar teman di larang, pdahal kita suami istri yg datang. Aturan yg Hotel lebay!;umum;negatif
Kamarnya bersih, overall servicenya okay  ;fasilitas,pelayanan;positif
Hotel dengan embel-embel syariah ini paling top di kota, pelayanan sigap, bersih;pelayanan,fasilitas;positif
Anda harus reservasi terlebih dahulu karena kamarnya selalu penuh.;umum;netral
Lokasi strategis ditengah kota luwuk klo cm makan nongkrong ATM dket smua;umum;positif
Kamar luas dan bersih, kamar mandi bersih, dekat kota;fasilitas;positif
Kamar luas, air panas ada;fasilitas;positif
Lokasi strategis, harga cukup ekonomis;biaya;positif
Bagus buat menginap disini;umum;positif
Lokasinya di bukit. Ketinggiannya lumayan. Viewnya bagus banget. Laut. Sudut pandangnya luas. Harganya ramah di kantong. Shuttle service luar biasa karena on time, ramah, dan bahkan bersedia mengantar ke tempat jualan souvenir khas Luwuk ;biaya,transportasi,pelayanan;positif
Makanan pestanya kurang enak, untuk layanannya parah masah katanya kursi di tambah 50 SD 100 tapi ngk ada bukti kursi. Jujur dong saya sering dapatkan beberapa hotel ngk jujur. ;umum;negatif
Fasilitas kamar oke, restoran oke. Pemandangan dari kamar hotel langsung ke arah pantai sangat menyejukkan. Di halaman hotel ada ayam peliharaan, cukup mwnghibur seperti di suasana pedesaan. Sebelah kiri hotel juga masih hutan, sehingga ;fasilitas;positif
Hotel estrella berlokasikan di daerah yang sekitarannya juga ada hotel yang setipe. Kesan pertama pelayanannya ramah. Waktu pertama booked kamar, kamar yang di dapat agak lembap dan baunya lembap sekali akhirnya kita minta tuker kamar ;fasilitas;negatif
Bayar denda 1 juta karena handuk, padahal sejak awal sy check in memang tidak ada handuk, salah sy juga tidak langsung melapor karna sy jarang menginap di hotel, jadi sy rasa ini perkara sepele, ternyata pas check out malah jadi persoalan, ;umum;negatif
Hotel Nyaman dan harga murah. Proses Check in cepat dan proses extend pun mudah. Laundry bersih dan cepat. Setiap hari kamar di bersihkan. Pilihan breakfast agak monoton but so far so good. English breakfast maupun Ala Indonesia tersedia.;kenyamanan,biaya,fasilitas;positif
Saya pernah menginap di sini dan disayangkan sekali pelayanannya sangat kurang. Dulu katanya manage by aston mungkin karna sdh tidak kerjasama, service nya jadi buruk. Sy meminta tambahan handuk di kamar sampai 1/2 hari tidak diantar entah ;pelayanan;negatif
Service level has gone down. Not much focus from the management.  This is my second visit and during the height of pandemic this property managed well. Very nice scenery and well positioned. ;pelayanan;negatif
It is located uphill with a spacious area. Some rooms has sea view but unfortunately the roof distract the view from top. I like how they setup the sofas at the lobby and the hall and there is an outdoor meeting room that show the beauatiful sea down there.;fasilitas;positif
this hotel is located on a hill that has a view to the sea and the city downhill directly. The view from restaurant was spectacular, especislly on a clear night. room is so clean, compact, and tidy, completed with tv, Internet, hot water, etc. hotel design is a bit unconventional, assymmetric and its awesome. love to stay here.;fasilitas;positif
View hotel nya : 9/10 Kamarnya : 7/10 Makanannya : 6/10 ;umum;netral
Cocok utk berlibur dan kegiatan Krn memadai fasilitas, hanya blm terdapat fasilitas angkutan umum (taxi) yg tersedia;fasilitas;positif
Pesan suki yaki, daging nya sdh mulai bau mendekati basi, saus teriyaki asin seperti kecap asin dikasih gula;pelayanan;negatif
Hotel dengan pemandangan laut yg menyejukkan. Terdapat kolam renang dan ballroom yg cukup luas. Hanya saja kunci pintu kamar sulit dibuka dan shower mandi rusak..;fasilitas;netral
Sepu2 saya bikin pesta wedyngnya disitu,tapi makanannya yg di suguhkan ada yg sudah basi,pelayanannya jg sangat mengecewakan.;pelayanan;negatif
Estrella a portuguese word means stars in English. Blm pernah nginep cuman kesini waktu ada event. Nanti saya review ulang klo ada kesempatan staycation disini;umum;netral
Tempatnya menyenangkan buat berlibur bersama keluarga , teman2 Harganya terjangkau Makanannya enak2 pula Kereen deh t4nya , viewnya jg bagus;kenyamanan,biaya;positif
Fasilitas lengkap,kamar luas ada terasnya dan cocok buat yang mau honeymoon,atau buat kegiatan. Hotelnya bersih rapi pokoknya is the best  tapi masih ada staf yang tidak menggunakan masker ;fasilitas;positif
Suasana sangat nyaman,viewnya sangat indah.Such a good place to stay.;kenyamanan;positif
Salah satu hotel di tepian bukit dengan view laut serta kota Luwuk.  + Ada view hamparan lautan dan juga kota Luwuk + Kamar sudah baik dan nyaman;fasilitas;positif
Hotel bersih, pelayanan ramah, lokasi strategis karena dekat t4 tujuan saya  ;fasilitas,pelayanan;positif
Kamarnya bersih Luas Tempatnya strategis ;fasilitas;positif
Clean and cozy room for a business trip. Affordable price. Nice and humble staff. Recommended hotel.;fasilitas,biaya,pelayanan;positif
Pelayanannya kurang memuaskan, WiFi nya tidak mendukung;pelayanan,fasilitas;negatif
Kamarnya bersih, lokasi tenang.;fasilitas;positif
Tempat strategis, kamar luas;fasilitas;positif
Cat cat sdh tekelupas.... Rawat trs tamu spy nyaman;fasilitas;negatif
Hotelnya bagus dan bersih;fasilitas;positif
Kamar lt 1 lembab dan bau;fasilitas;negatif
Mantap pelayanannya;pelayanan;positif
Ramah, bersih mantap;fasilitas,pelayanan;positif
Hotel redoors, harga terjangkau;biaya;positif
Bagus;umum;positif
Layak untuk menginap;umum;positif
Waw;umum;positif
Tempatnya bersih, murah dan banyak pilihan kamar, tidak melayani sarapan. Agak sulit mencari lokasi karena agak tersembunyi dalam lorong-terutama bagi pendatang baru disaat malam hari;fasilitas;positif
Bersih;fasilitas;positif
aku suka itu,,,hmm,,;umum;positif
Bagus;umum;positif
I spent 6 nights here. The room is clean. I got new towel everyday.  They serve breakfast, lunch and dinner with various menu. Some of them are ;fasilitas;positif
Pemandangan yang menakjubkan, dari kamar bisa liat sunset yg berasal dari laut.. Makanan variasinya banyak, petugas nya Soo helping n ramah.. Recommended hotel n will be back soon klo ke Luwuk lagi..;fasilitas,pelayanan;positif
Kamar dan pelayanan oke, harga sesuai dengan pelayanan dan fasilitas.. Wifi, TV, kamar luas, jendela lebar, pencahayaan bagus.. Parkiran luas, lokasi agak naik ke bukit sehingga dapat view laut juga.. ;fasilitas,pelayanan,biaya;positif
Tempatnya bersih, interiornya cantik, pelayanannya ramah, posisi hotel di ketinggian jadi bisa melihat pemandangan kearah laut luwuk, dekat dari kilo lima yang terkenal tempat wisata pantainya di luwuk, fasilitas kolam renang, lobby luas, ;fasilitas,pelayanan;positif
Hotel dengan fasilitas cukup lengkap. Pemandangannya bagus. Pelayanan nya sangat baik dan cepat. Kamarnya bersih dan fasilitas nya tidak ada masalah. Tersedia fasilitas antar jemput pelabuhan dan bandara for free.;fasilitas,pelayanan,transportasi;positif
Hotel yang bagus secara fasilitas dan kenyamanan. Yang patut di apresiasi hotel memberikan free complimentary air mineral lebih dari 2 botol per hari. ;fasilitas,kenyamanan;positif
Hotelnya nyaman, pelayanan profesional, pemandangan yg indah,  memiliki kolam renang, fasilitas kamar bagus, wifi ok, menu makanan banyak pilihan;kenyamanan,pelayanan,fasilitas;positif
Salah satu hotel terbaik di daerah Luwuk, Banggai. Pelayanan dan fasilitas sangat baik, dan viewnya bener2 terbaik sihh, langsung menghadap ke laut.. Jossss!!!;pelayanan,fasilitas;positif
Hotel ini tdk besar namun cukup nyaman sebenarnya. Mungkin karena bukan hotel baru, kamar yg kutempati flusher wc-nya tidak berfungsi baik sehingga harus menahan diri untuk buang air disitu. Sarapan pagi bervariasi mulai dari beberapa jenis ;kenyamanan;positif
Slh satu hotel budget yg bersih. Pelayanannya lumayan. Bisa antar jemput bandara gratis. Kekurangannya tidak tersedia makanan diluar breakfast;biaya,fasilitas,pelayanan;positif
Tempatnya nyaman, sarapan lumayan variasi Hanya kalo lantai atas lumayan naik tangga tidak ada lift Kamar dekat jalan lumayan berisik, tidak ada peredam Overall worth it;kenyamanan;positif
Hotel kota di Luwuk ini Sangat Recommended, pelayanan baik, kamar bersih, nyaman, plus skrng ada pelayanan antar jemput dari dan ke bandara ;pelayanan,fasilitas,kenyamanan;positif
Tempatnya bagus, pelayanannya juga bagus dan sopan sopan mereka dalam melayani tamu dan kamarnya bersih;fasilitas,pelayanan;positif
the real syariah HOTEL, bener hotel yg nyaman, berkelas. terserah bintang brp status ny, tapi pelayanan laksana  ;kenyamanan;positif
Locates near to the bay and food court in the city centre. Cozy ambience and friendly staffs. One minus point is the absence of elevator;kenyamanan,pelayanan;positif
"Aman, nyaman &amp; strategis krn dekat dgn penjual ikan bakar yg enak sekali...";kenyamanan;positif
Hotel budget yang sangat nyaman dan berada di pusat kota Luwuk. Senang menginap di hotel ini.;biaya,kenyamanan;positif
Pegawai dan resepsionisnya ramah, kamar luas, bersih, nyaman;pelayanan,fasilitas,kenyamanan;positif
Nyaman, Syariah.. harga sesuai fasilitas..;kenyamanan,biaya;positif
Tempatnya luas. Fasilitasnya cukup lengkap. Cocok buat santai2. Makanan nya 3/5. Rasanya kurang. Variasinya lumayan. Kamarnya 5/5. Bersih, luasnya sesuai standar tipe kamar, ada minibar. ;fasilitas;positif
Membandingkan dengan Beberapa Review lain untuk hotel ini, Banyak beberapa improvement. CI CO ga smp 5 mnit, Air Panas AC on cukup, Amenities dan toiletries lengkap.. Menu Breakfast variatif, western, indonesian, traditional menu, bakery, bubur, aneka soup, selama 5malam menu tiap hari ganti, untuk rasa cukup.. Hospitality So So lah..;fasilitas;positif
Acara pernikahan keluarga dilakukan dihotel ini. Review saya sbb : 1. Ruangan pesta ok dan cukup dingin juga. 2. Makanan saat test food..cukup memuaskan .rasa dan jumlah juga ok..tetapi saat ;fasilitas;positif
Checkoutx lama udh 30mnt gk kelar2 mgkn dikirax kita gak ad urusan selain check out Refundx gak bisa trnsfer dan blm ada dana cash (gk msuk akal utk tdk diusahakan) ;pelayanan;negatif
Salah satu hotel terbaik di kota air Luwuk yang terletak di bukit halimun, memiliki view' laut dan kota air Luwuk, memiliki ruang pertemuan untuk rapat dan perkawinan yng berstandar nasional serta fasilitas lainnya dengan pelayanan yang baik dan profesional...layak dikunjungi dengan keluarga serta teman/sahabat.;fasilitas,pelayanan;positif
Pelayanannya bagus dan cepat Kamarnya luas ada balkonnya jadi bisa buat yg merokok Sarapannya lengkap ;pelayanan,fasilitas;positif
Sungguh pengalaman yang mengecewakan. Saya harus menghubungi sampai 4 kali hanya untuk meminta handuk yang belum tersedia di kamar. Sudah saya tunggu di kamar sejak check in jam setengah 2 sampai jam 5 tidak kunjung datang petugasnya. ;pelayanan;negatif
High class standart... Nice...  ;umum;positif
Langganan sewaktu mengerjakan proyek dongggi senoro cpp gas plant...awalnya dulu aston luwuk kemudian berganti estrella...but overall yang saya suka dari hotel ini view nya juara...lepas pantai kilo 5...dan kamarnya super luassss;fasilitas;positif
Kurangn nyaman dengan metode pembayarannya tidak boleh di akhir kita check out harus di awal check in jika menginap 3 hari kita wajib melakukan pembayaran di awal sekaligus atau tiap malam akan di telfonin dan di tagih;kenyamanan,pelayanan;negatif
Good.. makan paginya enak dan  bervariasi di banding hotel tetangga.... hanya saja beberapa kali menginap di sni dpt kmr Ac nya kurang dingin..;fasilitas;netral
nginap di estrella, merupakan pengalaman yg menyenangkan... makanannya enak.... kamar yg cukup luas, suasana mnyenangkan, sejuk dan banyak spot u/ take picture nya.. semoga bisa kesini lagi dehhh...;fasilitas;positif
Saya di kamar 207 (luasnya 20m2), selama 5 hari 4 malam, dan saya puas, ramah para stafnya, senyum, yg utama bersih, dan kamar dingin. Adem nyaman. ;fasilitas,kenyamanan,pelayanan;positif
Kamarnya bersih dan fasilitasnya lengkap : AC, TV, Breakfast, Air Panas, WIFI. Recommended untuk yang cari hotel dengan harga terjangkau dan fasilitas lengkap.;fasilitas;positif
Lumayan bersih, nyaman, dan enak sarapan nya. Tapi tidak dapat sikat gigi.;fasilitas,kenyamanan;positif
