text;aspek;sentimen
Lumayan sih, hanya Akses ke lantai 3 hanya lewat tangga saja,, trus pengaman tangganya kurang.;fasilitas;negatif
Aplikasi yang sangat luar biasa, saya sangat terbantu dengan aplikasi ini dalam melaksanakan pekerjaan saya... Trimakasih banyak para jenius;umum;positif
Lumayan nyaman, pelayanan ramah, dekat dengan tempat perbelanjaan;kenyamanan,pelayanan;positif
bersih, harga oke, dan lokasi strategis fi tengah kota luwuk;fasilitas,biaya;positif
Lumayan bagus, bersih dan rapi. Recommended untuk tempat ini  ;fasilitas;positif
Dekat pusat kota, kamar bersih cuma jaringan Wi-Fi jelek;fasilitas;positif
Membantu kita untuk menemukan tempat yang baik untuk menginap;fasilitas;positif
Bagus, hotelnya masih baru;fasilitas;positif
Sangat cepat respon;umum;positif
Hotel nya bersih dan nyaman;fasilitas;positif
Pelayanannya baik.;pelayanan;positif
Tdk punya musollah;fasilitass;negatif
Memuaskan;umum;positif
tempa tingal bosku;umum;netral
Asri....sejuk....segerr;kenyamanan;positif
Good...;umum;positif
jelek;umum;negatif
Lumayan;umum;positif
Nyaman;kenyamanan;positif
Mantap;umum;positif
Good;umum;positif
Bagus..;umum;positif
Menyenangkan memilih hotel ini, meskipun agak jauh dari hiruk pikuk kota utama luwuk tapi setidaknya hotel ini memberikan kesejukan pemandangan kota dan pantai luwuk. Pelayanan ramah merupakan nilai plus dari pegawai pegawai lokal hotel ;kenyamanan,pelayanan;positif
Hotel Santika Luwuk, Hotel yang sangat nyaman dengan view yang indah menghadapnke arah laut, layanan kamar sangat baik fasilitas air panas, tv, ac semuanya ok. Kolam renang tersedia setiap saat dengan sajian view yang mantap. Pelayanaannya ;kenyamanan,fasilitas,pelayanan;positif
Hotel santika luwuk, merupakan salah satu hotel baru yang cukup baru dikota luwuk. Hotel ini terletak di Dataran tinggi dengan suasana yang nyaman dan tenang. Hotel ini sangat cocok untuk teman-teman yang menyukai suasana tenang.  Hotel ini ;kenyamanan;positif
Bagus dan mewah dalamnya.....dari luarnya terlihat gagah dan berdiri megah di lereng bukit di atas kota Luwuk, Kabupaten Banggai. Semua terlihat sangat baik dan nyaman kecuali kamar mandi tempat ku menginap 2 malam, drainasenya jelek, air ;kenyamanan,fasilitas;positif
Tempat ini sangat baik, pelayanannya, kamarnya dan viewnya. Ballroomnya juga paling baik untuk buat kegiatan, hanya makanannya kadang agak kurang pas untuk ukuran lidahku. Jangan mengiyakan kalo belum rasa sendiri, bisa jadi memang seleraku yang ndeso hehe...;fasilitas,pelayanan;positif
Tgl 12 Desember 2019 saya menginap di hotel ini. Saya ketinggalan charger ori samsung note 8. Setelah sekitar 5 jam check-out saya telpon hotel, katanya charger sdh tidak ada. Padahal saya pastikan bahwa charger tertinggal di kamar hotel tsb...;pelayanan;negatif
*Bersih. *pelayanannya oke biar dimusim covid tetap pelayanannya sama seperti sebelumnya dibandingkan hotel lain mereka tdk melayani dgn baik. *makanannya oke. Mantap soal rasanya.;fasilitas,pelayanan;positif
Bagus, bersih, kamar nya luas n'dekat dgn kuliner dan pusat perbelanjaa. Dekat pelabuhan n'sllu rujukan menginap bagi yg berasal dr kota Salakan. Syang nya tdk ada lift tersedia;fasilitas;positif
Hotel ini pelayanannya mantap banget, sarapan sangat ontime (tapi menunya lain kali jangan pedes-pedes yaa), fasilitasnya sangat berkelas. Hotelnya juga ada free wifinya, cepat betul kecepatan internetnya. ;pelayanan;positif
Hotel Kota terletak di Pusat Kota luwuk, anda bIsa menikmati kuliner khas kota luwuk seperti ikan bakar, kondro dan menikmati Indahnya kota luwuk dimalam hari. ;fasilitas;positif
Baru pertama kali menginap d hotel ini, pelayananx sangat baik, karyawanx ramah2, kamarx bersih, dlm kamar d siapkan sajadah untuk sholat. Yg pasti top deh, klo ke  luwuk pingin nginap d sini lagi.;pelayanan,fasilitas;positif
Pelayanan sangat memuaskan. Kamar sangat bersih dan rapi. Makanan cocok di lidah. Pokoknya Alhamdulilah terbaik..;pelayanan,fasilitas;positif
Hotel yang mantap. Paling recommended di Luwuk. Ini Hotel yang sangat bagus kamarnya. Benar-benar bersih. PSK dan Pria Hidung Belang Dilarang Masuk.;fasilitas;positif
Hotel nya bersih , pelayanannya ramah. Cukup strategis dekat dengan pusat belanja.;fasilitas,pelayanan;positif
"Tempat nya enak dekat jalan ada pohon ;teduh saat panas  ";fasilitas;positif
Tempatnya strategis, kamarnya bersih, dan harganya, terjangkau;fasilitas,biaya;positif
Untuk fasilitas dalam kamar sangat bagus, hanya saja wifi di sekitaran kamar wing 4 tidak bekerja dengan baik seperti halnya tidak ada saja. Trus untuk viewnya sih masih agak kurang dapat klo kamar bagian bawah berbeda mungkin dg kamar ;fasilitas;positif
Lokasi bagus dengan pemandangan laut yang cantik. Bangunan mewah dan bersih dengan fasilitas yang mencukupi. Ruang konferensi cukup luas namun musala terbatas. Kamar yang disediakan baik ;fasilitas;positif
Fasilitas sudah cukup memadai... Pelayanan nya yang sebaiknya ditingkatkan... Sebagai contoh pengalaman saya bersama istri pada jam Sarapan, Menu nya habis ludes semua nanti setengah jam kemudian baru menunya ada lagi tapi keburu sudah sarapan...;fasilitas,pelayanan;netral
View-nya sangat bagus dan layanannya jg bagus... Yg perlu d perbaiki taman d seputaran hotel sangat tidak terawat seperti SDH lama tidak disentuh manusia...kucing berkeliaran d resto jadi tidak nyaman saat makan karena kucing sdh brani naik d meja tempat kita makan.;pelayanan,fasilitas;netral
Pelayanannya kurang friendly, booking buat antar ke bandara dari jam 9 bilang akan diantar jam 3 (pesawat jam setengah 5) malah udah ditinggal karena alesan jam set 2 udah jalan. Lah gimana? Kayaknya mba2 resepsionis yg di depan perlu ;pelayanan;negatif
Makanan nya enak,pelayanan prima, view kamar yang menghadap laut nya keren walaupun lokasi jauh dari keramaian, overall salah satu hotel terbaik di kota Luwuk;umum;positif
Dekat dgn bandara pelayanan maksimal murah....dkt dgn prkantoran....tdk trjebak macet.....karyawannya ramah2.....tmpt metting aman nyaman luas lg....ayooo ke hotel estrella sekarng bw kluarga...rekan kerja pacar....maleo conference center ;pelayanan;positif
Hotel lumayan bersih, cuma kemarin kebagian handuk yg bau kayak udah lama gak di pake, menu sarapan nasi kotak tidak include minum kecepatan internet lemot. Staf ramah, menyediakan cuci laundry dan sewa motor juga.;fasilitas,pelayanan;positif
Sangat baik pelayanan nya, fasilitas yg nyaman...saran kami agar beberapa kmr yg kunci dan air di kamar mandi msh rusak agar dapat segera di perbaiki... selebih nya kami ucapkan terima kasih.....;pelayanan,fasilitas;positif
Tempat bersih dan nyaman, hanya saja sinyal kurang bagus, tp tenang untuk pengguna internet ada free wifi kok..;fasilitas;positif
Tempatnya enak, pelayanannya ramah, kamarnya lega, wifinya agak lemotz, air panas gak nyala trus gak ada tempat sampah di kamar.;fasilitas,pelayanan,kenyamanan;positif
Mantap Hotelnya. Tapi pas waktu ke sana, ada wanita jalangnya yang duduk-duduk di depan lobi. Mencari tamu pria hidung belang.;umum;netral
Gak ada liftnya sih tapi bagus buat olahraga ringan;fasilitas;netral
Nyaman danterjangkau, Untuk pasilitas suda lebih dari apa yg di butuhkan;kenyamanan,fasilitas,biaya;positif
"Quiet Satisfaction.. But the Free Wi-Fi is so Bad. I couldn't Updated or Download anything..!! &gt;_&lt;'";umum;positif
fasilitas oke cuma gak ada tempat sampah di kamar.;fasilitas;netral
Tempat nya bagus tapi fasilitasnya agak sedikit kurang;fasilitas;netral
Recommend for budget hotel. Clean, cheap and crew friendly.;biaya,pelayanan,fasilitas;positif
Red dors sangat memungkinkan,diskon banyak;umum;positif
Hotel nya enak , masih baru;fasilitas;positif
hotelnya baru...nyaman;kenyamanan;positif
WiFi lemot parah;fasilitas;negatif
I like;umum;positif
Berih harum;fasilitas;positif
Ok;umum;positif
"Over all sangat memuaskan dan fasilitas baik. Kamar nyaman, TV, lemari, lemari pendingin, tempat tidur dkk bersih dan nyaman, kamar mandinya bersih dan tersedia hairdryer ; sabun dkk juga lengkap dan ok. ";fasilitas;positif
Terima kasih mendapatkan free upgrade.  Kamar dengan view yang bagus, city, laut dan pool.  Kamar luas, cuman fasilitas agak kurang.  Rain Shower perlu dibersihkan sehingga air bisa keluar, pada waktu kami menginap tidak bisa dipakai.  Free shuttle ke airport sangat membantu.;fasilitas;netral
Hotel ini secara infrastruktur masih di bawah standar grup Hotel Santika di tempat lain karena dibeli dari pengusaha lokal yang membangunnya sejak awal. Kelebihannya adalah pemandangan ke Selat Peling dan kota Luwuk dari kejauhan yang cukup ;fasilitas;netral
Saya mencoba all you can eat di sini dan rasanya cukup mengecewakan. Pertama, dari segi pelayanan sangat kurang. Di beberapa stan makanan tidak disediakan sendok, garpu, dan pisau sehingga saya harus jauh-jauh mengambilnya di tempat lain. ;pelayanan,fasilitas;negatif
Hotel santika luwuk ini pemandangannya bagus, menghadap laut. Untuk kamar yg view nya menghadap laut mempunyai harga wani lebih mahal dibandingkan dengan kamar reguler. Hotelnya bagus bersih dan harga nya juga wajar, apalagi kalau pesan secara online.;fasilitas,biaya;positif
Tempat yang nyaman, pelayanan yang sangat baik, terletak di tempat yang strategis untuk menikmati keindahan luwuk baik siang maupun di malam hari. Cita rasa makanan yang disajikan sangat baik. Pelayanan kamar juga memuaskan. Recomended lah buat tempat istirahat teman-teman yang akan hendak berkunjung ke luwuk;kenyamanan,pelayanan,fasilitas;positif
Hotel bagus.. Makanan enak, view T.O.P B.G.T. Pas sarapan pilih tetap duduk yg dekat kaca, bagua bgt view-nya. Untuk kamar, dr lantai 2 aja uda keliatan bagus bgt view lautnya. Mantap deh;fasilitas;positif
Hotel nya bagus ada di bukit Pemandanganya bagus banget dr rooftop nya Kamar bersih tenang dan damai ;fasilitas;positif
Hotel besar dan keren yg ada di luwuk, view lngsung mnghdap ke laut, apalgi klau malam wegilanggasehhh keren banget, udah kek di hongkong, bisa liat pemandangan yg keren kya gni, apa lgi posisi.a di bukit, sepanjang jln mnuju hotel lewat ;fasilitas;positif
Great outdoor view to the ocean , specially at night, near a big mosque , near Kilo 5 for simple snorkling, free transport from and to airport , friendly faces , thoughtfull room cleaning, great variety on breakfast menu, great taste and ;fasilitas,transportasi;positif
Ekspektasi tentang layanan di hotel ini tidak sesuai dengan realita yang saya alami, karena ternyata lebih baik. Tipe kamar yang saya pesan Deluxe, air panas, pemanas air untuk buat teh/kopi, wellcome drink, dll. Kalau berkunjung ke Luwuk lagi, selama budget belum naik (hehehe), pasti menginap ke sini lagi. Recommended.  ;fasilitas;positif
Kamar Luas dan fasilitas wokeeyyy untuk harga yg relatif murah. Sekitar hotel banyak tempat makan jadi posisi ny sangat strategis;fasilitas;positif
Suasananya nyaman, lokasi strategis, staf hotel ramah dan makanannya enak.. Pilihan tepat bagi perjalanan singkat kita di kota Luwuk;kenyamanan,pelayanan,fasilitas;positif
Hotelnya bagus bersih dan interiornya mantap....makanan nya enak...banyak menuhnya. Bagusnya lagi hotelnya terletak di tengah Kota sudah pas di namakan Hotel Kota.recomended ;fasilitas;positif
Nyaman segala yg kita butuh dekat dan mudah terjangkau,pelayanan hotel jg memuaskan...;kenyamanan,pelayanan;positif
Hotel sederhana dan murah meriah, bagi saya rekomended karena ukuran kamar yang luas dan lega serta mengusung konsep syariah.;fasilitas;positif
Air panas hanya 5 menit utk kamar deluxe. Pelayanan tidak ok, tidak sesuai dengan harga.;pelayanan,biaya;negatif
murah dibandingkan hotel sekitarnya, dengan ukuran kamar luas, letak strategis di tengah kota luwuk;biaya,fasilitas;positif
suka menginap disini kalau tugas ke Luwuk. Kamarnya bersih stafnya ramah. Harga kamar terjangkau. Kalau ke bandara dianterin;fasilitas,pelayanan,biaya,transportasi;positif
Kamar luasss, bersih, view bagus, staff ramah :)  Breakfast blm coba, besok baru rasa :9;fasilitas,pelayanan;positif
Hotel syariah yg pelayanan oke bgt kamar bagus luas bersih nyaman bgt pelayan ramah baik dan cekatan;pelayanan,fasilitas,kenyamanan;positif
Hotelnya bersih dan pelayanannya ramah serta kamarnya luas .. sarapannya juga enak  ;fasilitas,pelayanan;positif
Tempat bersih, pelayanan ramah, lokasi strategis dekat teluk sebagai pusat keramaian, rekomended banget;fasilitas,pelayanan;positif
RECOMMENDED. Kamar luas, bersih, fasilitas lengkap. Stafnya ramah. OK banget dah.;fasilitas,pelayanan;positif
Pelayanan memuaskan dan menyediakan genset untuk kondisi kota Luwuk yg sering mengalami pemadaman listrik giliran;pelayanan,fasilitas;positif
recommended utk yg ingin menginap namun ingin lokasi di pusat kota Luwuk, dari hotel ini semua lokasi di dalam kota Luwuk gampang di akses;transportasi;positif
"Kamar bersih ,pelayanannya bagus &amp; ramah sangat recommended ";fasilitas,pelayanan;positif
Kamar bersih, view nya kota luwuk waktu malam dan pantai;fasilitas;positif
Hotel di tengah kota,  dekat dengan luwuk mall. Tapi tidak ada lift, harus naik tangga.;transportasi;positif
Kalo boleh tau barapa harga kamar yg standar?;biaya;netral
Bintangnya disesuaikan dengan hotelnya Untuk suasana bagus untuk hotel ini terutama design kolam renang, resto, bar dan tempat makan outdoornya. Terlihat sejuk karna banyak pohon. ;kenyamanan,fasilitas;positif
Saya rasa saat ini Estrella meruapakan property hotel terbaik di luwuk banggai. Lokasinya sangat baik dengan posisi diatas bukit yang langsung menghadap ke Laut. Susunan kamarnya pun unik dengan mengarah lebih rendah ke bawah yang tentunya ;fasilitas;positif
Hotel yang nyaman dan tenang dengan desain modern yang menarik. Banyak tanaman yang membuat pemandangan asri dan menenangkan. Berada di sini pengunjung akan merasa senyaman rumah sendiri. Apalagi para petugas hotel begitu ramah dan supel ;kenyamanan,fasilitas,pelayanan;positif
Suka suka suka  pemandangannya bagus. bnyak area berfoto dan bermain. makanannya jga enak. pelayanannya ramah banget. nunggu buat check in blum smpai 5 menit duduk eh di bawain jus sama mbaknya *tau aja si mbak klw sya lagi haus . well overall dri skala 1 - 10 sya kasih 9.9 deh  (krna sempurna cma milik Tuhan) ;fasilitas;positif
Saya menginap disini 2 malam untuk perjalan bisnis. Pemandangan dari hotel yang terletak bi bukit  ini sangat indah. Terlihat laut dan  kota Luwuk. Kamar bersih dan luas, sayang untuk kamar standartnya tidak ada pemanas air. Breakfast enak. staff ramah.;fasilitas,pelayanan;positif
Pemandangan nya bagus bangett, kamar rapih bersih, Lokasi mudah dijangkau, Pelayanan Ramah, hanya makanan nya saja yang kurang bervariasi hehehee.. Overall.. lebih baik dr hotel sebelahnya yg pake nama negara :D;fasilitas,pelayanan;positif
Kamar nya sangat lembab sekali. Semua kamar tidak memiliki jendela. Harga standar mulai 200rb sampai 350 rb an. ;fasilitas;negatif
Lumayan untuk hotel budget di Luwuk. Lokasinya bersebelahan dengan hotel keraton. fasilitas lumayan, handuk perlu diganti dengan yang baru. Soal harga udah standar lah.;fasilitas,biaya;positif
For a budget hotel, Ghotel offers a clean, not too spacious, good TV and AC, hot and cold water, comfort bed, and helpfull staf. Otherwise, the bathroom is small with too high shower and wood-door. A glass or plastic door would be better ;biaya,fasilitas,pelayanan;positif
Harga standar tetapi sayang kamar dibawah sempit untuk sholat dan tidak ada petunjuk arah kiblat;biaya,fasilitas;netral
Kamarnya bagus, tapi kadang resepsionisnya kurang tanggap, sistem manajemen hotelnya kurang bagus dlm melayani pengunjung;fasilitas,pelayanan;netral
Very large room and nice decoration .... but for towel need more deep washing for become white bright  ;fasilitas;positif
Hotel pertama yg aku temukan , ada bantal guling nya ,.... Nyaman, bersih, Murah.;kenyamanan,fasilitas,biaya;positif
Hotelnya kurang menarik.. interior dan fasilitas kamar kurang ditata dengan baik..;fasilitas;negatif
I don't hate it but if you need more than just a bed in a relatively spacious room, you better consider going elsewhere.;fasilitas;negatif
Kalo boleh tau barapa depe harga kamar yg standar;biaya;netral
Bagus bersih lokasi di kota. Bisa sewa motor pegawainya.;fasilitas,pelayanan;positif
Tv tidak ada siaranya tdk ada lift;fasilitas;negatif
Kamar cukup bersih, pelayanan ramah;fasilitas,pelayanan;positif
"Pelayanannya cukup bagus &amp; tarifnya terjangkau";pelayanan,biaya;positif
Jaringan Wifii hotel yg kurang bagus;fasilitas;negatif
"Hotel dari depan keliatan tua &amp; tidak terawat";fasilitas;negatif
Lumayan bagus bersih dan terjangkau;fasilitas,biaya;positif
letaknya strategis dan Pelayanannya Ramah, terimakasih;pelayanan;positif
Suasana dan tempatnya bagus dan tenang;kenyamanan;positif
Harga tidak sesuai dengan service;biaya,pelayanan;negatif
Murah dan nyaman;biaya,kenyamanan;positif
Jaringan susah!!;fasilitas;negatif
Hotel Baru di Luwuk;umum;netral
Nice;umum;positif
The hotel can be easily accessed. It's very close to the beach and has an excellent beach view. You can also enjoy the view from the pool. The staffs are nice, polite and helpful. The food is okay for a remote place like Luwuk.;transportasi,pelayanan;positif
Hotel santika luwuk adalah salah satu hotel baru yang ada di kota luwuk. Dengan view yang cukul bagus memandang kearah kota luwuk dan bentangan laut yang luas. Hotel santuka luwuk bisa mejadi salah satu pilihan alternatif saat berlibur. ;fasilitas;positif
Hotel-nya bagus ada kolamnya terus kolamnya ada2 satu rendah satu tinggi harganya 75.000 per org dan free makan dan minum minum 1, makan 1 kalian sisa pilih makan=chiken wings/sandwich chiken. Minum=ice tea, leccy tea tinggal pilih minum1 dan makan 1 selamat datang dan bersenang-senang;fasilitas;positif
Jarak tempuh dari hotel santika ke pusat kota kurang lebih 20 menit,bisa dijangkau oleh pengendara sepeda motor ataupun kendaraan roda 4..view langsung menghadap ke laut dan bisa melihat langsung kerlap kerlip lampu yg ada dikota luwuk..;transportasi;positif
overall ok nginap 2 malam, cuma posisi diatas bukit kalau cari makan ke bawah bukit pulangnya lapar lagi, daerahnya sepi jauh dari keramaian, transportasi umum juga susah, akan lebih baik jika disediakan motor/sepeda free untuk pengunjung untuk keluar sekedar melihat2 kota luwuk atau berburu kuliner...;transportasi;negatif
Salah satu hotel bintang di Luwuk. Stafnya ramah (cari nama weldy untuk reservasi). Sarapannya pun enak. ;pelayanan;positif
Hotel bintang 3,berada di kompleks Bukit Halimun membuat hotel in memiliki pemandangan yang sangat indah menghadap langsung ke lautan sekaligus ke kota luwuk..dengan pelayanan yang ramah ala Indonesia,membuat betah berlama-lana berada di Hotel ini.;fasilitas,pelayanan;positif
Pemandangan Sangat Indah, Makanan enak Banget, loundry cepat bersih dan Harum, ;fasilitas;positif
tiga tahun lalu jalan2 ke luwuk menginap di santika, pemandangan teluknya manstafff. air lautnya jernih dan tidak asin ikan2 terlihat, pasir putihnya the best lah...sayang banyak yang tidak tahu ? apa karena penerbangan jarang.;fasilitas,pelayanan;positif
Hotel yang lumayan baru di Luwuk Banggai Sulawesi Tengah, tiba malam hari dengan memesan via traveloka, pelayanan front officenya cukup ramah namun masih dalam tahap training atau karena memang hotelnya baru jadi masih menyesuaikan sistem, ;pelayanan;positif
Hotel ini berlabel syariah. tamu dilarang masuk ke kamar dan tidak boleh bermalam dengan pasangan lawan jenis yg bukan muhrim. kerbersihan oke. service oke. ramah. ;fasilitas,pelayanan;positif
Hotelnya Ok, Pelayanan Ramah, Air Panas tidak lancar dan tidak menyediakan Penjemputan. Hotel tidak memiliki Lift hanya Tangga Biasa. Khusus Makanan Lumayan dan Bagi yang mau Buat acara Maximal 50 orang untuk ClassRoom dan tidak menyediakan alat tulis menulis.tx;pelayanan,fasilitas;netral
Hotelnya bersih, kamar luas, kamar mandi saya suka lantainya tdk licin, tanpa lift, air panas tidak ada, tidak boleh menerima tamu lawan jenis yg bukan mahrom, alhamdulillah syariah.. Letaknya dekat dengan pelabuhan, cocok buat transit. Dekat dgn masjid, pasar sentral, warung makan tinggal pilih.;fasilitas,transportasi;positif
Sudah bagus untuk standard hotel kelas melati, suasana kamar baik dan nyaman, air lancar dan ac jalan dg baik kekurangannya, kran air pancuran tuk mandi agak susah di tarik, saluran air panas tidak stabil saat bercampur dg air dingin sehingga agak susah mengukur kran saat mandi;fasilitas;positif
Untuk area luwuk lumayan kamar bersh dan luas.... akses dkat kmana2 ...1 arh jdi hrus muter dr jam kota luwuk ke arah toko maju blok kanan...dkat mesjid agung dan mall. ;fasilitas,transportasi;positif
Kamarnya sudah bagus cocok untuk tempat singgah. Sayangnya tidak ada lift jadi jika di lantai 3 kita harus turun lewat tangga. Dekat dengan pusat kota dan sangat nyaman;fasilitas,kenyamanan;positif
Bersih, nyaman, ramah, harga bersahabat, minus hot water aja buat mandi sama lift(kayaknya blm cocok jg kali pake lift gedungnya ya hehe);kenyamanan,fasilitas,pelayanan;positif
Wifi untuk lantai 3 tidak connect. Tidak ada lift, jadi kita harus naik tangga untuk sampai ke lantai 3. Air panasnya tidak berfungsi. Gambar di TV nya buram.;fasilitas;negatif
Hotelnya bersih, pelayanannya ramah, saya sekeluarga sangat senang nginap dsini;fasilitas,pelayanan;positif
Buat yang mau berencana plesiran ke Banggai, bisa coba nginep ke Hotel ini. Pelayanan ramah, sarapan enak, dan harga yang tidak terlalu mahal.;pelayanan,fasilitas,biaya;positif
Hotel baru yang bagus dan nyaman, menu sarapan perlu ditingkatkan. Gak ada air panas.;fasilitas;netral
Lokasinya dekat dengan banyak pilihan kuliner, harga terjangkau....pelayanan ramah baik;biaya,pelayanan;positif
Cukup nyaman tapi masih ada beberapa perbaikan. Tetapi secara keseluruhan cukup nyaman;fasilitas,kenyamanan;positif
Fasilitas hotel masih baru dengan pelayanan sangat ramah;fasilitas,pelayanan;positif
lokasi nyaman, dekat dengan masjid, dekat dengan warung yang menyediakan ikan bakar lezat, dekat bank;transportasi;positif
Hot water only available for suite room (they didnt inform me) and wi-fi were not working.;fasilitas;negatif
Tempatnya nyaman standar hotel......;kenyamanan;positif
Top 2 hotel in town. Recommend it. Hotel dengan view perbukitan dan teluk luwuk sering disebut little Hongkong. Kamar cukup bagus dan bersih serta luas. Lengkap dengan amenities standard hotel berbintang. Layanan staff cukup ramah dan bagus ;fasilitas,pelayanan;positif
This hotel used to be managed under a well-known chain hotel. Room type.consists of superior- a non smoking room with no.balcony, deluxe-much larger room with balcony facing to the backside.of the hotel,.and junior suite. The bar and ;fasilitas;netral
Hotel ini adalah hotel pertama di kota Luwuk yang menyajikan konsep modern, sebelumnya hotel ini bernama hotel Aston dan kemudian berubah nama menjadi Estrella, kenapa berubah mgkn sya tdk bisa menjelaskannya. Pemandangan di hotel ini ;fasilitas;netral
"Luwuk, selalu datang kesini bisa di bilang rutin juga setahun 2 kali, untuk hotel biasanya kita di Hotel K*ta gara"" penuh, akhirnya kita dipesankan GHotel, - Ghotel termasuk salah satu hotel baru di luwuk, ";umum;netral
Mantap, berada dijalur transportasi umum,  tarifnya terjangkau, fasilitasnya keren dan sarapannya enak. ;fasilitas,transportas,biaya;positif
hotel yang nyaman hanya saja tidak ada fasilitas lift  sehingga harus menaiki tangga untuk ke lantai 3 atau 4;kenyamanan;positif
Tempatnya lumayan dan harganya juga terjangkau. Paling suka mandi air panas dan wifi nya;biaya,fasilitas;positif
Good...harga standar gak sampe 300...cuma parkiranny kurang luas;biaya,fasilitas;positif
Tempat menginap pilihan di tengah kota Luwuk dengan harga yang tidak terlalu merobek kantong;biaya;positif
Kamarnya bersih dan nyaman, tp tempat parkirnya sempit;fasilitas,kenyamanan;positif
Lantai 3, tapi naik tangga itu beraaat.  Kamar gak ada jendela.;fasilitas;netral
Lokasinya di kota,  tenang,  pelayanannya bagus;fasilitas,pelayanan;positif
Hotel Baru, nyaman dan Murah di Luwuk;kenyamanan,biaya;positif
The upperdeck restaurant is still not in operation;fasilitas;negatif
Pelayanannya bagus;pelayanan;positif
No lift or escalator here;fasilitas;negatif
Fasilitas lumayan;fasilitas;positif
Sesuai harga;biaya;positif
Hotel murah dan bersih;biaya,fasilitas;positif
Clean for this budget hotel;fasilitas,biaya;positif
Bersih rapih;fasilitas;positif
Lumayan lah.;umum;positif
Cukup bagus;umum;positif
Mantab;umum;positif
Santai;umum;positif
Butu taksi;transportasi;negatif
Great hotel..;umum;positif
Hotel di tengah kota luwuk;umum;netral
Hotelnya cukup bersih, WiFi Lemot disemua lantai...dekat hotel banyak tempat makan..sebelum dikasih kunci kamar reception akan pesan tdk boleh ketemu perempuan di kamar (baguslah).;fasilitas;positif
Ruangan kamar bersih rapi, bangunan terawat hanya sempat melihat ada serangga di dalam toilet, belum ada lift. Secara keseluruhan hotelnya bagus;fasilitas;positif
Sarapan yang disediakan terbatas dan rasa nya biasa saja. Kamar cukup nyaman, hanya pembuangan air di kamar mandi sering tersumbat dan bisa banjir;fasilitas;netral
Hotelnya bagus, bersih, nyaman. Cm mungkin nginepnya pas lagi renovasi jd keganggu sama suara2 ketukan palu dll.. terus wifi sering hilang.;fasilitas,kenyamanan;positif
Hotel syariah pertama di Luwuk, tidak menyediakan kamar yang boleh merokok. Harga tidak terlalu mahal. Tidak jauh dari pusat keramaian. Overall secara pribadi saya senang dengan hotel ini.;fasilitas,biaya;positif
Hotel syariah, disediakan sajadah setiap kamar. Kamarnya nyaman. Hanya sarapannya saja yg terlalu minimalis;fasilitas,kenyamanan;positif
The best. Murah. Bersih. Ramah. Syari'ah lagi. Bersih dan nyaman. Rekomended buat semua yg berkunjung ke luwuk. Std 235rb. Deluxe 325rb dan suite 435rb. Ok banget;biaya,pelayanan,fasilitas,kenyamanan;positif
Hotelnya bagus, bersih, pelayannya ramah Dan lokasi nya strategis mudah dicari;fasilitas,pelayanan,kenyamanan;positif
Lokasi pinggir pantai, dekat bandara dan harga sangattt..bersahabat serta fasilitas memadai dan bersihh....manntaaappp;fasilitas,transportasi;positif
Nice Hotel. The breakfast is good and varied each day. Nice room, with a little view of beach.;fasilitas;positif
Hotel yang Lumayan, baru dan bersih.  pelayanan ramah;fasilitas,pelayanan;positif
Untuk yang kesekian kalinya disini.  Nyaman dan ramah tempat ini. Hanya cape naik turun tangga  ;kenyamanan,pelayanan;positif
Tidak bagus, pastikan pada saat membayar anda teliti kembali, sebab petugasnya tidak teliti.;pelayanan;negatif
Bersih hotelnya, tapi kamar mandi yg kmar standar terlalu sempit, sedangkan kamar yg deluxe terlalu luas,..sayang sekali waktu transit rate tidak flexible, harus jam 6 pagi sampai jam 3 sore;fasilitas;netral
Bersih dan Murah Lagi. Hotel Baru di Luwuk di lengkapi Ac,Televisi,free wifi, Breakfast. Harga mulai: Rp 250.000~ Rp350.000;biaya,fasilitas;positif
Oke lah;umum;positif
Bagus;umum;positif
Pertama Ke Luwuk, Hotel nyaman murah, deluxe 325, standart 250, extrabed pake springbed cuma75rb, kamar lumayan luas, rekomended hotel di Luwuk;biaya,fasilitas;positif
Hotelnya lumaya bagus,playanannya jg ok lah...;pelayanan;positif
